longitude,latitude,avg_days_per_year
108.017,61.267,0.06666970886191476
-43.969,-19.634,9.467098658391896
10.483,33.35,52.56906543761979
-73.309,-3.785,349.74929268960483
99.253,16.896,265.145432143835
-75.702,35.917,60.76943962763531
-5.656,42.589,0.0
-115.783,54.15,0.0
19.85,45.333,4.600209911472119
-78.836,48.206,0.8000365063429772
117.75,-23.167,17.734142557269326
-58.317,-26.85,93.27092269781875
-91.745,47.049,5.000228164643607
48.9,63.45,0.1666742721547869
56.917,65.967,0.06666970886191476
-52.85,68.7,0.0
-71.417,41.583,0.06666970886191476
9.988,53.63,0.10000456329287215
-73.88,40.779,21.067628000365065
15.333,48.333,0.06666970886191476
38.091,38.435,3.6668339874053117
114.208,30.784,93.80428036871407
130.947,33.836,65.73633293784795
-0.297,50.836,0.1666742721547869
151.283,-23.533,0.0
128.659,35.894,43.735329013416084
108.667,26.967,47.368828146390435
143.2,59.367,0.0
25.867,63.083,0.03333485443095738
73.283,59.583,0.266678835447659
16.069,45.743,4.4002007848863744
10.861,48.186,0.0
100.217,23.95,0.03333485443095738
-122.567,47.267,0.1666742721547869
116.15,-34.25,0.3333485443095738
-64.15,63.33,0.0
-112.068,43.52,0.0
103.133,19.467,2.7667929177694623
-72.85,45.05,4.466870493748289
69.733,40.217,0.1666742721547869
146.317,-41.383,0.0
-4.733,32.683,0.1666742721547869
-121.595,38.701,5.300241854522223
105.85,51.717,0.0
-123.817,45.417,0.06666970886191476
29.617,-16.833,0.0
-56.117,-15.653,210.0095829150315
145.267,-36.433,0.5666925253262755
-7.966,37.014,1.0000456329287215
15.717,61.367,0.0
-79.059,34.608,52.702404855343616
5.333,60.383,0.0
-1.617,48.833,0.0
47.067,38.433,0.03333485443095738
94.467,29.567,0.0
122.533,52.967,0.533357670895318
72.95,40.917,0.8333713607739345
-80.8,28.517,66.66970886191476
88.447,22.655,205.7760564022999
116.65,27.583,104.00474582458703
-61.7,49.083,0.0
-149.965,61.179,0.0
136.75,-11.017,147.4400611481245
138.633,-34.793,1.9000867025645707
-15.867,23.7,2.533448936752761
-78.05,38.25,31.134754038514192
-83.75,42.967,12.800584101487635
37.583,57.35,0.0
-15.948,18.098,115.90528885643882
40.567,49.933,1.233389613945423
13.275,49.675,0.23334398101670167
-92.187,46.844,2.7667929177694623
51.867,49.05,1.6000730126859544
31.317,58.017,0.8333713607739345
68.417,25.383,168.67436342064434
79.047,21.092,176.97474217395273
18.867,48.167,2.866797481062335
23.633,45.433,0.0
6.109,46.238,0.1333394177238295
78.308,55.333,0.2000091265857443
-82.53,36.988,3.5668294241124396
45.033,12.833,160.4073195217669
13.85,46.733,0.0
85.75,46.817,0.0
112.367,45.733,1.8334169937026559
-99.85,32.433,44.80204435520672
-92.133,16.25,0.0
-16.25,28.45,1.6334078671169117
100.617,14.8,297.74691977731135
47.479,-18.797,8.167039335584558
13.567,47.25,0.0
79.767,11.767,320.3812859359314
129.483,63.517,0.1333394177238295
140.9,36.95,28.901318791640048
18.2,47.867,1.6000730126859544
179.217,-8.517,344.4823856895136
-131.6,53.033,0.0
-114.618,34.768,26.901227525782605
15.533,41.433,1.9000867025645707
-100.927,29.378,99.47120562197682
17.567,49.317,0.5666925253262755
46.583,54.817,0.4000182531714886
-112.066,33.69,18.56751391804326
11.033,46.867,0.0
25.617,-33.985,1.6334078671169117
-69.669,18.43,306.64732591037694
127.55,39.933,25.934516747284842
-106.417,23.2,175.80802226886922
79.431,57.533,0.266678835447659
138.25,37.1,48.8022268869216
3.404,46.17,1.3333941772382951
-61.783,47.417,0.03333485443095738
139.017,37.9,39.43513279182258
35.783,30.167,3.43349000638861
145.167,-38.35,0.46668796203340335
0.15,53.617,0.0
-78.517,52.233,0.10000456329287215
108.752,34.447,40.70185726019896
122.232,-17.945,195.64226065528885
-75.227,39.873,31.734781418271425
126.25,40.167,36.90168385506982
2.422,44.891,0.10000456329287215
41.867,3.933,69.33649721639135
-44.733,-60.733,0.0
49.393,-18.11,182.07497490188922
-71.491,41.921,10.600483709044447
101.38,14.078,310.6475084420918
-88.167,14.333,0.10000456329287215
6.14,31.673,19.300880715524322
101.517,25.017,0.0
-4.852,41.706,0.03333485443095738
-66.864,52.922,0.0
55.934,53.583,0.1333394177238295
13.7,60.683,0.0
6.777,33.511,31.334763165099936
72.868,19.089,250.4447613397828
9.933,44.433,0.0
127.75,26.267,146.54002007848865
16.95,63.683,0.0
119.967,15.333,334.6819384868121
6.387,43.385,6.333622341881902
-71.03,41.4,0.30001368987861643
6.5,44.567,0.0
-104.508,36.742,0.0
69.233,38.25,0.0
24.233,46.367,0.10000456329287215
98.889,1.556,330.9817696449758
-49.221,-16.632,47.73551154513097
50.175,-14.279,158.87391621794288
142.767,-38.067,0.5000228164643608
-79.258,42.153,2.1667655380122297
178.559,-18.043,236.87747558638316
-67.466,-45.785,0.0
-124.887,49.711,0.10000456329287215
-162.067,58.65,0.06666970886191476
46.55,44.4,6.600301177329562
-90.467,49.033,0.6333622341881903
43.3,68.65,0.0
120.3,33.75,57.202610203522866
105.807,21.221,193.84217851601716
80.083,32.5,0.0
-99.333,40.45,21.23430227251985
74.817,47.45,0.06666970886191476
-66.0,18.417,269.8456466186
142.167,50.05,0.0
-99.754,16.757,313.44763621429223
120.7,42.333,8.26704389887743
-56.1,51.383,0.0
17.298,44.941,5.800264670986584
45.069,37.668,0.23334398101670167
-2.08,48.588,0.23334398101670167
69.083,37.233,17.600803139545498
-103.083,34.433,0.1333394177238295
-81.546,21.616,213.64308204800585
