longitude,latitude,avg_days_per_year
108.017,61.267,0.700031943050105
-43.969,-19.634,20.567605183900703
10.483,33.35,106.6048644702017
-73.309,-3.785,319.44791001186456
99.253,16.896,308.2807337774939
-75.702,35.917,54.469152140184356
-5.656,42.589,2.8334626266313774
-115.783,54.15,0.533357670895318
19.85,45.333,18.56751391804326
-78.836,48.206,1.9667564114264855
-91.745,47.049,4.333531076024459
56.917,65.967,0.1666742721547869
-52.85,68.7,0.0
-71.417,41.583,53.33576708953181
-73.88,40.779,26.36786985488729
15.333,48.333,0.03333485443095738
38.091,38.435,52.23571689331021
114.208,30.784,89.7040932737063
130.947,33.836,50.402299899607556
-0.297,50.836,0.1666742721547869
128.659,35.894,44.60203522862098
108.667,26.967,52.902413981929364
143.2,59.367,0.0
25.867,63.083,0.06666970886191476
16.069,45.743,16.100734690152414
10.861,48.186,1.8334169937026559
100.217,23.95,0.5666925253262755
-122.567,47.267,1.7000775759788265
116.15,-34.25,8.200374190015516
-64.15,63.33,0.0
-112.068,43.52,6.3002874874509445
-72.85,45.05,4.83355389248882
-4.733,32.683,14.800675367345077
-121.595,38.701,66.56970429862189
-56.117,-15.653,286.8130875239573
-7.966,37.014,10.100460892580086
15.717,61.367,0.03333485443095738
5.333,60.383,0.06666970886191476
47.067,38.433,3.6668339874053117
94.467,29.567,0.266678835447659
122.533,52.967,2.266770101305102
72.95,40.917,33.60153326640504
-80.8,28.517,170.67445468650178
88.447,22.655,245.87788628274163
116.65,27.583,98.33782057132427
-61.7,49.083,0.0
-149.965,61.179,0.0
136.75,-11.017,310.38082960664417
138.633,-34.793,26.934562380213563
-83.75,42.967,16.80076663320252
40.567,49.933,12.667244683763805
-92.187,46.844,3.600164278543397
51.867,49.05,30.301382677740257
31.317,58.017,1.500068449393082
68.417,25.383,219.44334671899244
79.047,21.092,236.6107967509355
18.867,48.167,12.2005567217304
6.109,46.238,4.333531076024459
78.308,55.333,0.8000365063429772
-82.53,36.988,5.3335767089531805
13.85,46.733,0.4000182531714886
85.75,46.817,0.30001368987861643
112.367,45.733,6.23361777858903
-99.85,32.433,111.10506981838095
-92.133,16.25,1.5334033038240396
-16.25,28.45,6.000273797572328
100.617,14.8,324.24812904992245
47.479,-18.797,7.133658848224879
13.567,47.25,0.0
79.767,11.767,305.08058775212197
129.483,63.517,0.46668796203340335
140.9,36.95,14.400657114173589
18.2,47.867,12.267226430592316
179.217,-8.517,346.0157889933376
-114.618,34.768,145.33996531897418
-100.927,29.378,147.9734188190198
17.567,49.317,3.766838550698184
46.583,54.817,2.566783791183718
-112.066,33.69,122.23891119832071
25.617,-33.985,3.7001688418362693
-69.669,18.43,290.37991694806976
127.55,39.933,21.23430227251985
-106.417,23.2,168.27434516747286
79.431,57.533,0.8333713607739345
138.25,37.1,43.301975905813634
3.404,46.17,9.30042438623711
-61.783,47.417,0.0
139.017,37.9,33.501528703112164
35.783,30.167,52.23571689331021
145.167,-38.35,6.833645158346263
108.752,34.447,60.36942137446382
122.232,-17.945,217.7432691430136
-75.227,39.873,38.06840376015333
126.25,40.167,30.301382677740257
2.422,44.891,2.5001140823218035
-44.733,-60.733,0.0
49.393,-18.11,145.97332755316236
-71.491,41.921,11.06717167107785
101.38,14.078,332.94852605640233
-88.167,14.333,0.966710778497764
6.14,31.673,153.10698640138725
101.517,25.017,0.10000456329287215
-4.852,41.706,7.76702108241307
-66.864,52.922,0.03333485443095738
55.934,53.583,5.166902436798394
13.7,60.683,0.03333485443095738
6.777,33.511,132.83939490736515
72.868,19.089,294.9467920051109
127.75,26.267,120.6055033312038
119.967,15.333,319.0145569042621
6.387,43.385,29.968034133430685
98.889,1.556,335.94866295518847
-49.221,-16.632,119.17210459067263
50.175,-14.279,130.7726339326458
142.767,-38.067,9.900451765994342
-79.258,42.153,2.0334261202884
178.559,-18.043,175.2746645979739
-67.466,-45.785,3.0334717532171216
-124.887,49.711,0.6333622341881903
-162.067,58.65,0.06666970886191476
-90.467,49.033,1.6000730126859544
43.3,68.65,0.0
120.3,33.75,47.268823583097564
105.807,21.221,181.47494752213197
80.083,32.5,0.0
-99.333,40.45,39.06844939308205
-66.0,18.417,245.77788171944877
142.167,50.05,0.0
-99.754,16.757,303.9472027014694
120.7,42.333,11.367185360956467
-56.1,51.383,0.0
45.069,37.668,11.633864196404126
-2.08,48.588,0.966710778497764
-103.083,34.433,38.23507803230812
-81.546,21.616,186.17516199689697
-104.757,38.678,4.666879620334033
-56.001,-4.242,332.6151775120927
-81.244,68.776,0.0
115.133,-34.367,0.8333713607739345
88.883,29.25,0.03333485443095738
-86.877,21.037,242.97775394724835
-52.36,4.82,250.94478415624715
37.074,-3.429,74.10338140001825
-74.231,11.12,317.01446563840466
-120.183,55.733,0.3333485443095738
111.45,27.183,84.30384685589121
84.15,43.033,0.0
16.633,48.667,7.533677101396368
14.728,56.929,0.1666742721547869
-2.868,56.373,0.0
170.983,-42.717,0.0
108.172,22.608,150.8735511545131
113.67,-24.888,62.502852058045086
34.96,29.561,167.5409783699918
-1.512,12.353,279.0460664415442
-66.283,-30.367,78.03689422287123
134.667,34.833,56.10256000730127
-53.688,-29.711,83.10379209637675
-6.752,34.051,10.167130601442
116.051,5.937,353.516131240303
146.95,-36.067,25.367824221958568
-94.052,45.544,17.100780323081135
-86.745,33.565,82.57043442548144
24.7,43.15,22.967714702929634
111.617,26.233,95.37101852696907
69.717,29.883,113.6385187551337
0.202,47.949,5.166902436798394
9.517,39.1,56.769257095920416
-73.094,-41.439,0.10000456329287215
